Model,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months
3b_GBM_MSE_v3,0.0018,0.1074,0.0165,0.552,0.335,58
3b_GBM_Quantile_v3,-0.0029,0.1136,-0.0258,0.552,0.064,58
