label,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months,hidden,seed,pred_std_mean
mlp_h8_s42,0.011287435894182643,0.12731372589093495,0.08865843659192081,0.5,0.41036945015624704,58,8,42,0.005353670507059272
mlp_h16_s42,0.0035986108717820466,0.1224977229305412,0.029376961348273674,0.5,0.3134716946403067,58,16,42,0.0064121460710684286
mlp_h32_s42,0.011058809660013524,0.1171721595149241,0.09438086407040211,0.5344827586206896,0.3642212300900342,58,32,42,0.00785151882707302
mlp_h64_s42,0.0006938024921293249,0.10882313455572064,0.006375505493035377,0.5172413793103449,0.3465960524791454,58,64,42,0.009372360040915424
