Model,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months
1a_OLS_v2,0.0118,0.1674,0.0705,0.569,0.81,58
1b_IC_Ensemble_v2,0.0159,0.2085,0.076,0.552,0.771,58
1c_FamaMacBeth_v2,0.0244,0.1753,0.1393,0.621,1.008,58
1d_Barra_v2,0.0144,0.1233,0.1167,0.517,0.982,58
2a_LASSO_v2,0.0118,0.1674,0.0705,0.569,0.81,58
2b_Ridge_v2,0.0126,0.1758,0.0714,0.552,0.8,58
2d_ElasticNet_v2,0.0118,0.1674,0.0705,0.569,0.81,58
2e_AdaptiveLASSO_v2,0.0118,0.1674,0.0705,0.569,0.81,58
