n_splines,fold,test_month,train_end,n_train,n_test,lambda_avg,total_edof,train_ic,test_ic,pred_std_test,y_std_test
4,61,2020-02-28,2019-12-31,22025,401,0.015848931924611134,66.40206958053066,0.07668432428254165,-0.057987701636845364,0.006663706908351319,0.1380468352848294
4,62,2020-03-31,2020-01-31,22426,401,0.015848931924611134,66.49674189669526,0.07891333142867582,0.18147492517771208,0.009111281177149206,0.1259097009555371
4,63,2020-04-30,2020-02-28,22827,408,0.015848931924611134,66.49986598382309,0.07544540773396975,0.16299246961875594,0.010933262041468043,0.0780341223395583
4,64,2020-05-29,2020-03-31,23228,408,0.015848931924611134,66.51047057400056,0.07116842421142977,0.25814931427947063,0.009488987107769608,0.07572858125930454
4,65,2020-06-30,2020-04-30,23636,408,0.015848931924611134,66.2388448472475,0.0741341011598308,0.067642335835428,0.012374329797342007,0.08109991997886262
4,66,2020-07-31,2020-05-29,24044,409,0.015848931924611134,66.36868189505273,0.07808822286849672,0.09658739922315202,0.013062234355883781,0.08575095144892277
4,67,2020-08-31,2020-06-30,24452,409,0.015848931924611134,66.21370237687152,0.0780637851551631,-0.03256482815448459,0.01145722731265799,0.06148384428448436
4,68,2020-09-30,2020-07-31,24861,410,0.015848931924611134,66.17035366860891,0.07948580325860113,-0.03315025010096607,0.010585477685537022,0.07642100147112521
4,69,2020-10-30,2020-08-31,25270,409,0.015848931924611134,66.14476073158696,0.07907039748364564,-0.0015757372938642277,0.009837819968934607,0.12388175749329457
4,70,2020-11-30,2020-09-30,25680,411,0.015848931924611134,66.19984394454282,0.07821614175751462,0.1200328475909188,0.009632176861432579,0.06273179805578864
4,71,2020-12-31,2020-10-30,26089,414,0.015848931924611134,66.27378791297357,0.08276770490578242,0.01753937290093723,0.009843303021671678,0.07649208186401076
4,72,2021-01-29,2020-11-30,26500,416,0.015848931924611134,66.3326215483309,0.08422107457714081,0.07411407915472343,0.009612260952820698,0.10824467573324044
4,73,2021-02-26,2020-12-31,26914,414,0.015848931924611134,66.3966455319694,0.08367619037453276,-0.16851156670494544,0.009715049689380442,0.07300773212261553
4,74,2021-03-31,2021-01-29,27330,414,0.0039810717055349725,70.18656563868615,0.08531193439499198,0.020175540844498206,0.01300716127730321,0.057531975625183314
4,75,2021-04-30,2021-02-26,27744,416,0.015848931924611134,66.54775721778658,0.08462181075095289,-0.01849618234849262,0.011882400265924995,0.05947685873950152
4,76,2021-05-28,2021-03-31,28158,416,0.015848931924611134,66.58015174044215,0.08411605000680564,0.19679316759868087,0.008875868213472622,0.06996375159730672
4,77,2021-06-30,2021-04-30,28574,416,0.015848931924611134,66.63668548149853,0.08306903605156199,-0.047204995034371984,0.011578242803879028,0.06686825274628774
4,78,2021-07-30,2021-05-28,28990,417,0.015848931924611134,66.6876689758167,0.08528474719269702,-0.07857040488822638,0.010352836094196413,0.06116701436138577
4,79,2021-08-31,2021-06-30,29406,417,0.0039810717055349725,70.30835168867864,0.08278558564609059,-0.04251079749366649,0.0119210330729666,0.06458218054899671
4,80,2021-09-30,2021-07-30,29823,417,0.015848931924611134,66.75962172245248,0.08269914576076742,0.10311056616593646,0.009545894329230227,0.07844024822952006
4,81,2021-10-29,2021-08-31,30240,418,0.015848931924611134,66.8360095297568,0.08182968677379485,0.148485277922581,0.008219655080605478,0.0771210916027348
4,82,2021-11-30,2021-09-30,30657,418,0.015848931924611134,66.87832816377727,0.08136901237755083,-0.01859959013716827,0.009200249718180882,0.06962999075328666
4,83,2021-12-31,2021-10-29,31075,418,0.015848931924611134,66.93113453682659,0.08273492876435032,-0.31284462797494206,0.009794037652617878,0.09612003851809021
4,84,2022-01-31,2021-11-30,31493,418,0.015848931924611134,66.96999511631329,0.08164636881676991,-0.05568901359760709,0.009823954550890222,0.07834996039283011
4,85,2022-02-28,2021-12-31,31911,418,0.015848931924611134,67.02145762151844,0.07873295098703434,-0.10324296059147652,0.009055463838312502,0.08122945951841429
4,86,2022-03-31,2022-01-31,32329,418,0.015848931924611134,67.06841033450074,0.07722564551250526,-0.14744481238629706,0.008777036900118535,0.08500547287230889
4,87,2022-04-29,2022-02-28,32747,419,0.015848931924611134,67.05705348401249,0.07461704377291284,-0.11782802128820875,0.009029881600472876,0.085271453715553
4,88,2022-05-31,2022-03-31,33165,420,0.015848931924611134,67.0936640082009,0.07245693725324875,-0.07478195123618722,0.009135158442057935,0.07483324485239659
4,89,2022-06-30,2022-04-29,33584,422,0.015848931924611134,67.12912514090033,0.07020972354556904,0.219844653568303,0.009006826538467676,0.08337454085060092
4,90,2022-07-29,2022-05-31,34004,422,0.015848931924611134,67.17042482974585,0.0692131068015392,0.007229285135651159,0.008429326839074892,0.06864697910228464
4,91,2022-08-31,2022-06-30,34426,422,0.015848931924611134,67.2121588783673,0.07171667188148191,0.018387219906929125,0.008924272853324023,0.05978079942580781
4,92,2022-09-30,2022-07-29,34848,422,0.015848931924611134,67.24906329207295,0.07002728915911957,0.03492017451424923,0.009249078226621977,0.09380846472447765
4,93,2022-10-31,2022-08-31,35270,422,0.015848931924611134,67.29416672668773,0.0686922183358473,-0.047011349229916864,0.009463612392342582,0.08275254770941005
4,94,2022-11-30,2022-09-30,35692,423,0.015848931924611134,67.33003029811402,0.06682906262919343,-0.14271460756817123,0.009779949180910238,0.05813449482356658
4,95,2022-12-30,2022-10-31,36114,423,0.015848931924611134,67.37364777026234,0.0659261102953955,0.21466917284621556,0.009260667252552264,0.09986209390033975
4,96,2023-01-31,2022-11-30,36537,424,0.015848931924611134,67.39158773775712,0.063663602728007,0.12731122308900059,0.008606176044386946,0.06210324139312751
4,97,2023-02-28,2022-12-30,36960,424,0.015848931924611134,67.42032924194186,0.06574084016993016,-0.06315333259446715,0.009877164226170968,0.08120800437603543
4,98,2023-03-31,2023-01-31,37384,424,0.015848931924611134,67.45623200107529,0.06632341646540947,-0.06554744749626513,0.009592081989076979,0.06258952833387697
4,99,2023-04-28,2023-02-28,37808,424,0.015848931924611134,67.49079436876208,0.06623403091999747,0.23856998561724893,0.009788066714010715,0.11497923888213588
4,100,2023-05-31,2023-03-31,38232,425,0.015848931924611134,67.52863405176657,0.06495840882327782,0.1275067225795259,0.008003829578413994,0.06864308542757408
4,101,2023-06-30,2023-04-28,38656,425,0.015848931924611134,67.54388705158128,0.06689062129375656,0.08808627318537297,0.00928508801428485,0.07113039424095086
4,102,2023-07-31,2023-05-31,39081,425,0.015848931924611134,67.44132122569141,0.06801462341129057,0.0157729332894392,0.009435887685225953,0.07159964759325334
4,103,2023-08-31,2023-06-30,39506,426,0.015848931924611134,67.50620026831461,0.06736651298851351,-0.06065820364516619,0.009346351833734137,0.05121413772741013
4,104,2023-09-29,2023-07-31,39931,427,0.015848931924611134,67.54641227620043,0.0668664391562263,-0.264045669465147,0.008700393808206126,0.07044456693609889
4,105,2023-10-31,2023-08-31,40357,428,0.015848931924611134,67.5839561303644,0.06574860817315356,0.09821528194964128,0.00898467302831847,0.08732481079770593
4,106,2023-11-30,2023-09-29,40784,428,0.015848931924611134,67.62160096845133,0.06359689564975289,0.23801454804260688,0.007816240651279095,0.06879378072252723
4,107,2023-12-29,2023-10-31,41212,428,0.015848931924611134,67.65704755520733,0.06544495244913218,-0.1320830638897135,0.009644230221761791,0.06635549659073173
4,108,2024-01-31,2023-11-30,41640,428,0.015848931924611134,67.69370819806844,0.06716361700911035,0.19495218890263064,0.010146479046537074,0.09798187173928806
4,109,2024-02-29,2023-12-29,42068,428,0.015848931924611134,67.72197463914785,0.06571748072515529,0.08344408902117685,0.00783294861662914,0.06462303177031439
4,110,2024-03-28,2024-01-31,42496,429,0.015848931924611134,67.74110951860938,0.06716255622726006,-0.1251517609129605,0.010306663200464968,0.06382955618066989
4,111,2024-04-30,2024-02-29,42924,432,0.015848931924611134,67.7780699381863,0.06747661167441049,0.024861477971180664,0.009892672904288838,0.07954537187994848
4,112,2024-05-31,2024-03-28,43353,432,0.015848931924611134,67.8052181768274,0.06535210193149411,-0.07834424604603682,0.008711358746555356,0.06383823641007406
4,113,2024-06-28,2024-04-30,43785,432,0.015848931924611134,67.82362309619963,0.06451018353596201,0.03883305405165013,0.009964001120428754,0.08649338632616647
4,114,2024-07-31,2024-05-31,44217,432,0.015848931924611134,67.85355483217472,0.06319502979315374,-0.10748098243104652,0.009492738542385935,0.07083964570602028
4,115,2024-08-30,2024-06-28,44649,432,0.015848931924611134,67.882973394948,0.06278547075704975,0.08575490747386748,0.007793909121380713,0.0649354655546734
4,116,2024-09-30,2024-07-31,45081,432,0.015848931924611134,67.81206368640386,0.06147463248075487,-0.1279460397420524,0.007250543962376854,0.08128147077288625
4,117,2024-10-31,2024-08-30,45513,433,0.015848931924611134,67.85358423514471,0.062180663586253244,0.06628239561638617,0.007397960159482324,0.09739116691321777
4,118,2024-11-29,2024-09-30,45945,433,0.015848931924611134,67.8883299042137,0.061229764379294865,-0.028721292380555236,0.0074552800195367116,0.06334293661501328
5,61,2020-02-28,2019-12-31,22025,401,0.25118864315095796,75.26887453436737,0.08436623254690657,-0.021125552211097683,0.007105189116240855,0.1380468352848294
5,62,2020-03-31,2020-01-31,22426,401,0.25118864315095796,75.47302504013533,0.08830687601927464,0.17285765915721568,0.009259984319156846,0.1259097009555371
5,63,2020-04-30,2020-02-28,22827,408,0.06309573444801932,85.7770818424719,0.08487978475377814,0.1155837547307899,0.012748158050180624,0.0780341223395583
5,64,2020-05-29,2020-03-31,23228,408,0.06309573444801932,85.82898955968335,0.07957340578354048,0.2639218409326388,0.010325012131714233,0.07572858125930454
5,65,2020-06-30,2020-04-30,23636,408,0.06309573444801932,85.43674812491878,0.07880115534528742,0.048843679112797855,0.013694758820981555,0.08109991997886262
5,66,2020-07-31,2020-05-29,24044,409,0.06309573444801932,85.67000838864064,0.0823427218395221,0.10418913898866511,0.015143775977525786,0.08575095144892277
5,67,2020-08-31,2020-06-30,24452,409,0.06309573444801932,85.48757807296951,0.08177791991323019,-0.00911959712761248,0.012274707378181494,0.06148384428448436
5,68,2020-09-30,2020-07-31,24861,410,0.06309573444801932,85.43188457565708,0.08347442761562136,-0.027312573143988893,0.011586739362997341,0.07642100147112521
5,69,2020-10-30,2020-08-31,25270,409,0.06309573444801932,85.42372277566253,0.08253975284147679,-0.00876863426863849,0.011048552193707128,0.12388175749329457
5,70,2020-11-30,2020-09-30,25680,411,0.06309573444801932,85.50320832033665,0.0822612774318816,0.12298228608447911,0.01046207892899956,0.06273179805578864
5,71,2020-12-31,2020-10-30,26089,414,0.06309573444801932,85.61586990818176,0.08469579593595397,0.04391121631587903,0.011468388897312961,0.07649208186401076
5,72,2021-01-29,2020-11-30,26500,416,0.06309573444801932,85.69560756993002,0.08614141192327117,0.06884907716613725,0.010794573636995318,0.10824467573324044
5,73,2021-02-26,2020-12-31,26914,414,0.06309573444801932,85.7857197636441,0.08672267846193427,-0.15183612083983258,0.012246941099357374,0.07300773212261553
5,74,2021-03-31,2021-01-29,27330,414,0.06309573444801932,85.86923760004996,0.09058477813851389,0.026649443963665646,0.014691332559339023,0.057531975625183314
5,75,2021-04-30,2021-02-26,27744,416,0.06309573444801932,86.00386733221421,0.08758898965114517,-0.011981021589742563,0.013641455741967401,0.05947685873950152
5,76,2021-05-28,2021-03-31,28158,416,0.06309573444801932,86.03560776911934,0.08660989540170959,0.21007493827029752,0.010685142591356021,0.06996375159730672
5,77,2021-06-30,2021-04-30,28574,416,0.06309573444801932,86.12612297819976,0.0852298236778752,-0.023645669666715653,0.01271485303136658,0.06686825274628774
5,78,2021-07-30,2021-05-28,28990,417,0.06309573444801932,86.2250668628862,0.0880922949949719,-0.047237566043527524,0.012608037855100264,0.06116701436138577
5,79,2021-08-31,2021-06-30,29406,417,0.06309573444801932,86.30188996544774,0.0875637201967836,-0.09568222717152695,0.01305497023696788,0.06458218054899671
5,80,2021-09-30,2021-07-30,29823,417,0.06309573444801932,86.34621332134375,0.08560048092261165,0.12800868234702448,0.011336334349772537,0.07844024822952006
5,81,2021-10-29,2021-08-31,30240,418,0.06309573444801932,86.45960846974629,0.08342251099139002,0.09928119966827033,0.009928081350692633,0.0771210916027348
5,82,2021-11-30,2021-09-30,30657,418,0.06309573444801932,86.51734188005133,0.08306396825288162,-0.011090778168417338,0.010178624012974681,0.06962999075328666
5,83,2021-12-31,2021-10-29,31075,418,0.06309573444801932,86.59088953129337,0.08368667756575293,-0.25363953512732873,0.011067416116367404,0.09612003851809021
5,84,2022-01-31,2021-11-30,31493,418,0.06309573444801932,86.642943544374,0.08202361750370434,-0.04504786046097284,0.010487996098800769,0.07834996039283011
5,85,2022-02-28,2021-12-31,31911,418,0.06309573444801932,86.71955424595114,0.08058619680504038,-0.12370570550588003,0.010491222046546216,0.08122945951841429
5,86,2022-03-31,2022-01-31,32329,418,0.06309573444801932,86.78179997656994,0.07996181103897511,-0.09921433095435835,0.009968895580411828,0.08500547287230889
5,87,2022-04-29,2022-02-28,32747,419,0.06309573444801932,86.76425337309684,0.07690810985041428,-0.1269931588549959,0.010809327390041989,0.085271453715553
5,88,2022-05-31,2022-03-31,33165,420,0.06309573444801932,86.81280901903692,0.07541291196858951,-0.055526571830770276,0.011901457713126338,0.07483324485239659
5,89,2022-06-30,2022-04-29,33584,422,0.06309573444801932,86.85988516633819,0.07279085257962277,0.11108873837770554,0.012155231703313708,0.08337454085060092
