n_splines,label,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months,wall_sec,flags
4,gam_ns4,0.0141,0.1263,0.1114,0.517,0.828,58,597.9,OK
6,gam_ns6,0.0115,0.1139,0.1009,0.552,0.654,58,874.1,OK
7,gam_ns7,0.0095,0.109,0.0874,0.552,0.561,58,3388.8,OK
8,gam_ns8,0.0057,0.1074,0.0529,0.483,0.464,58,42940.2,OK
9,gam_ns9,0.0047,0.103,0.046,0.466,0.468,58,45274.3,OK
