fold,test_month,bagged_ic,std_across_seeds,pred_corr_mean,seed_0_ic,seed_1_ic,seed_2_ic,seed_42_ic,seed_123_ic
1,2020-02-28,-0.12031418480448403,0.042598132357602285,0.4408669743281567,-0.08801097555030035,-0.1385091891574106,-0.14607293187663642,-0.03427012106678358,-0.06609709535754184
2,2020-03-31,0.056644789758737595,0.06738068095628029,0.3074778152244898,0.12722322076273662,-0.021557867107556156,-0.0038647797911119633,0.019026321891660935,0.13816006184541912
3,2020-04-30,0.10994710004347176,0.056147507537795745,0.26948456820116734,-0.0034805485764365907,0.1347064629576501,0.1362786820425112,0.10689607649822037,0.03604494199380409
4,2020-05-29,0.17023644195670828,0.07892911605772367,0.4156661706501443,0.23424556605075192,0.09542876527897637,0.24638375614429056,0.10920254287300098,0.049163742504075694
5,2020-06-30,-0.011646472421567536,0.060200127447152085,0.28916272668876036,-0.06775382506563021,-0.032017993054277084,0.018811378156187292,-0.10179611623468823,0.0668842620760261
6,2020-07-31,0.10500805232627107,0.02226104830906128,0.3952980665597975,0.09440414342841527,0.031921094985144734,0.07854148886127504,0.08965671587864567,0.06797453417079224
7,2020-08-31,0.003863397748435813,0.04531092254654368,0.40517537326903685,0.07211839497897297,0.0026688228987757417,-0.028073493167313553,-0.06171123246019205,0.02167322814620534
8,2020-09-30,-0.007310589991382696,0.04003955286366127,0.2906625115557198,-0.0654477822533198,0.036706692165008534,-0.04690870592827866,0.02255875361900442,0.008532518435789335
9,2020-10-30,0.18262469003543727,0.08871223684959235,0.2741864900238267,0.19454286956074537,0.005277071233358527,0.07746860539883432,0.2601387224110204,0.13752043775470207
10,2020-11-30,0.046462989939693465,0.02379099624474316,0.4033965331307107,0.06802272160025076,0.0303742428909922,-0.0014852628325810824,0.015045006205376528,0.043212108599627715
11,2020-12-31,0.02510390128333011,0.06571737689809581,0.28588348138006997,0.12676884586277012,-0.0659450825893775,0.081430465338999,0.006313405008237206,0.031888385239973234
12,2021-01-29,0.018544855196611,0.05841817478795846,0.44255422155637864,0.08919256845001133,-0.06462754103104787,0.05801903508412557,0.0013715075147877874,0.085462020343255
13,2021-02-26,-0.036029086311002025,0.07680532860729526,0.48471025090491204,0.036216550630314405,-0.13669953972310306,0.0765856430996507,-0.06190254729944335,0.023827078582516106
