================================================================================
RUNG 3A GAM AUDIT — n_splines hyperparameter sensitivity sweep
================================================================================
Loading panel: data/master_panel_v2.parquet
  46,811 rows, 119 months, 442 tickers, 27 features

================================================================================
n_splines = 3
================================================================================
  ERROR for n_splines=3: n_splines must be > spline_order. found: n_splines = 3 and spline_order = 3

================================================================================
n_splines = 5
================================================================================
  [gam_ns5] fold  50/58 | 2024-03 | n_train=42,496 | n_test= 429 | IC=-0.1188 | elapsed=531.2s
  [gam_ns5] fold  51/58 | 2024-04 | n_train=42,924 | n_test= 432 | IC=+0.0307 | elapsed=545.9s
  [gam_ns5] fold  52/58 | 2024-05 | n_train=43,353 | n_test= 432 | IC=-0.0261 | elapsed=560.0s
  [gam_ns5] fold  53/58 | 2024-06 | n_train=43,785 | n_test= 432 | IC=-0.0053 | elapsed=574.1s
  [gam_ns5] fold  54/58 | 2024-07 | n_train=44,217 | n_test= 432 | IC=-0.0852 | elapsed=588.7s
  [gam_ns5] fold  55/58 | 2024-08 | n_train=44,649 | n_test= 432 | IC=+0.0496 | elapsed=603.6s
  [gam_ns5] fold  56/58 | 2024-09 | n_train=45,081 | n_test= 432 | IC=-0.0947 | elapsed=618.4s
  [gam_ns5] fold  57/58 | 2024-10 | n_train=45,513 | n_test= 433 | IC=+0.0373 | elapsed=633.5s
  [gam_ns5] fold  58/58 | 2024-11 | n_train=45,945 | n_test= 433 | IC=-0.0103 | elapsed=648.8s

  DONE n_splines=5: IC=+0.0146, IC_IR=0.1259, Sharpe=0.792, Hit=50.0%, elapsed=648.9s

================================================================================
n_splines = 10
================================================================================
  [gam_ns10] fold   1/58 | 2020-02 | n_train=22,025 | n_test= 401 | IC=+0.0026 | elapsed=13.9s
  [gam_ns10] fold   2/58 | 2020-03 | n_train=22,426 | n_test= 401 | IC=+0.1483 | elapsed=28.2s
  [gam_ns10] fold   3/58 | 2020-04 | n_train=22,827 | n_test= 408 | IC=+0.1154 | elapsed=43.2s
  [gam_ns10] fold   4/58 | 2020-05 | n_train=23,228 | n_test= 408 | IC=+0.2425 | elapsed=58.2s
  [gam_ns10] fold   5/58 | 2020-06 | n_train=23,636 | n_test= 408 | IC=+0.0358 | elapsed=73.1s
  [gam_ns10] fold   6/58 | 2020-07 | n_train=24,044 | n_test= 409 | IC=+0.0909 | elapsed=88.0s
  [gam_ns10] fold   7/58 | 2020-08 | n_train=24,452 | n_test= 409 | IC=-0.0169 | elapsed=103.1s
  [gam_ns10] fold   8/58 | 2020-09 | n_train=24,861 | n_test= 410 | IC=-0.0124 | elapsed=118.6s
  [gam_ns10] fold   9/58 | 2020-10 | n_train=25,270 | n_test= 409 | IC=-0.0077 | elapsed=134.8s
  [gam_ns10] fold  10/58 | 2020-11 | n_train=25,680 | n_test= 411 | IC=+0.1148 | elapsed=150.8s
  [gam_ns10] fold  11/58 | 2020-12 | n_train=26,089 | n_test= 414 | IC=+0.0493 | elapsed=166.7s
  [gam_ns10] fold  12/58 | 2021-01 | n_train=26,500 | n_test= 416 | IC=+0.0373 | elapsed=183.0s
  [gam_ns10] fold  13/58 | 2021-02 | n_train=26,914 | n_test= 414 | IC=-0.1293 | elapsed=199.4s
  [gam_ns10] fold  14/58 | 2021-03 | n_train=27,330 | n_test= 414 | IC=+0.0021 | elapsed=216.2s
  [gam_ns10] fold  15/58 | 2021-04 | n_train=27,744 | n_test= 416 | IC=+0.0284 | elapsed=233.4s
  [gam_ns10] fold  16/58 | 2021-05 | n_train=28,158 | n_test= 416 | IC=+0.2202 | elapsed=250.6s
  [gam_ns10] fold  17/58 | 2021-06 | n_train=28,574 | n_test= 416 | IC=-0.0851 | elapsed=268.2s
  [gam_ns10] fold  18/58 | 2021-07 | n_train=28,990 | n_test= 417 | IC=-0.0490 | elapsed=286.2s
  [gam_ns10] fold  19/58 | 2021-08 | n_train=29,406 | n_test= 417 | IC=-0.0074 | elapsed=304.1s
  [gam_ns10] fold  20/58 | 2021-09 | n_train=29,823 | n_test= 417 | IC=+0.0993 | elapsed=322.3s
  [gam_ns10] fold  21/58 | 2021-10 | n_train=30,240 | n_test= 418 | IC=+0.0802 | elapsed=340.8s
  [gam_ns10] fold  22/58 | 2021-11 | n_train=30,657 | n_test= 418 | IC=-0.0190 | elapsed=359.7s
  [gam_ns10] fold  23/58 | 2021-12 | n_train=31,075 | n_test= 418 | IC=-0.2403 | elapsed=379.1s
  [gam_ns10] fold  24/58 | 2022-01 | n_train=31,493 | n_test= 418 | IC=-0.0335 | elapsed=398.6s
  [gam_ns10] fold  25/58 | 2022-02 | n_train=31,911 | n_test= 418 | IC=-0.0947 | elapsed=418.7s
  [gam_ns10] fold  26/58 | 2022-03 | n_train=32,329 | n_test= 418 | IC=-0.0786 | elapsed=438.8s
  [gam_ns10] fold  27/58 | 2022-04 | n_train=32,747 | n_test= 419 | IC=-0.1236 | elapsed=459.1s
  [gam_ns10] fold  28/58 | 2022-05 | n_train=33,165 | n_test= 420 | IC=-0.0687 | elapsed=479.6s
  [gam_ns10] fold  29/58 | 2022-06 | n_train=33,584 | n_test= 422 | IC=+0.0407 | elapsed=500.1s
  [gam_ns10] fold  30/58 | 2022-07 | n_train=34,004 | n_test= 422 | IC=-0.0247 | elapsed=521.2s
  [gam_ns10] fold  31/58 | 2022-08 | n_train=34,426 | n_test= 422 | IC=+0.0063 | elapsed=542.3s
