,EarningsYield,GrossProfitability,AssetGrowth,Accruals,Momentum12_1,NetDebtEBITDA,SUE,AnalystRevision,AnalystDispersion,RevisionBreadth,Beta,IVOL,ShortInterestRatio,InstOwnershipChg
2015-01-30,0.0860204081632653,0.04163265306122448,0.061326530612244884,-0.060816326530612246,0.11316326530612243,-0.2290816326530612,-0.17744098651598897,0.05878750887935292,0.14581632653061224,0.29467295599392984,0.30510204081632647,0.21673469387755098,,
2015-02-27,-0.4714285714285714,0.2157142857142857,-0.11255102040816324,-0.23224489795918365,0.16255102040816324,0.3698979591836734,0.13447449872836995,0.304955871042262,-0.18785714285714283,0.24274596649031158,-0.12112244897959182,-0.27153061224489794,,
2015-03-31,0.2450556835637481,0.12317588325652842,-0.14285714285714288,-0.19407642089093702,-0.2082373271889401,-0.11429531490015361,-0.0369757344597576,-0.25136835493327087,0.10940294036493671,-0.24446743025902423,0.1923963133640553,0.19978878648233486,0.035618279569892476,-0.16459968077021522
2015-04-30,-0.16413021394760297,0.11942660816562509,0.17632780624308078,0.10838007739591578,0.33158766406409423,-0.1976686429256152,-0.008011299213207842,0.1446824012299177,-0.1609491634132855,0.1414153717562045,0.04502534502784358,-0.0008993699385598262,0.004741342943015026,0.018160640655253933
2015-05-29,-0.047669153083372245,0.07987652413644233,0.07770429690605453,0.21724597225993172,0.1481108493697098,-0.11611636010193789,0.13624479404329395,0.12041493651386874,0.00540253076573484,0.12323615652063154,0.08761701483000418,-0.11835563508622594,,
2015-06-30,-0.09295874408380271,0.04904113955270926,0.06915507458646748,-0.04358520969459678,0.24452642451081352,-0.0039392835550564045,0.07867484087391842,0.041362075664826456,-0.1888810336299645,0.005652091417384097,-0.3288680109179335,-0.11354180105384938,-0.025956647011355763,-0.0894859500963432
2015-07-31,-0.002233803326753631,-0.019536954294806265,-0.01885359384343063,-0.0001422631135555791,0.03245474404811835,0.07854179479428405,-0.007946218919094349,-0.030811440623985414,0.0019388598182425564,0.04620192927382342,-0.17121612603117212,0.04420817631529875,0.010417546433631525,0.041505806886022595
2015-08-31,0.021681763269188217,0.08623787769916298,-0.04641711379534039,-0.016330438725160358,0.19994545289253365,-0.05255062941847376,0.0008113208952021404,0.10987185148330136,-0.21318576215330115,0.06718148029874209,-0.41703288781494086,-0.18310778368749825,-0.04383440555834742,-0.11608876885031186
2015-09-30,0.01717865675004911,0.0824409972206614,-0.16108927440253631,-0.1491629273766808,-0.19003013131108684,-0.09837975130128,0.11882675427063988,-0.005280205489021351,0.19932660604831617,-0.06481589860626692,0.3065131996374138,0.08990374290824521,0.04025404283821335,-0.09854552922930017
2015-10-30,-0.11225007293389593,0.007795288229935055,0.06223666709384717,0.08764062463779292,0.11961849988835753,-0.15065091586162732,-0.004602924535218695,0.036192015043269236,0.00830195958001468,0.025762890279054297,0.1907786732318134,0.042652003199907244,,
2015-11-30,-0.0919013436407147,0.07432228648189632,-0.0647345709509682,-0.05725698379945848,0.1510126560479137,0.053390209064596884,0.09498429926804748,0.15548563213330077,-0.17042104988443615,0.158124478963008,-0.4162780497125114,-0.10893188522661966,-0.09928496847212513,0.10387775820100029
2015-12-31,0.016778233085013385,0.08019607273290949,-0.12072218401085918,-0.026012036041388978,0.02106384856659783,0.12737731192205387,-0.039536848462763556,0.04188497931638985,-0.18298623881940387,0.028521322727932136,-0.534402290185127,-0.1897400975918285,0.02162827886482539,-0.18962836935156938
2016-01-29,0.13008289174989823,0.04675919198573182,0.019519225697841872,0.027375589719744024,-0.22376835492916097,0.04629914869387127,-0.023678282746030514,-0.10839363353907785,-0.031549218336082055,0.008013092518921006,-0.13804313352789577,-0.006774175510400255,,
2016-02-29,0.09150060869087923,-0.1056306328124754,0.07250816162438165,0.013819704792996745,-0.1841520620166583,0.08479252305867485,-0.13177574087757143,-0.08371862078874935,0.1168629746409316,-0.10955733001178837,0.2731729464176014,0.09515178522415058,0.08622367317766827,0.05324202958147584
2016-03-31,0.09965879403099845,-0.20559781439598943,-0.037845828333340735,0.10487749785949214,-0.3252093593785962,0.06385173042861018,0.09862460862876231,0.03522547391834963,0.14232169101549208,-0.12880795613401616,0.2854379490979389,0.16703092144448436,-0.11394140278520913,-0.023835036357233157
2016-04-29,-0.1319360890723042,0.045049368005571584,0.14910902939907064,0.01402400104193248,0.05043569050931938,-0.13432295383529153,-0.019910959233042026,0.056314908065231706,0.011516925484549089,0.009438623449049431,0.07910968598870065,0.06829177982074067,,
2016-05-31,-0.21985684620102613,0.05609315592575824,-0.06965131370110642,-0.20086691818469324,0.37234102809938846,0.20023358525594065,0.05222544421735701,0.15192424344397146,-0.2632668698872402,0.07049645667698534,-0.5292660062815023,-0.20802121840265295,0.05849891266124753,0.05695653846605875
2016-06-30,0.03796979618642187,0.1318951908358308,0.026153413311298054,-0.05092797161023944,-0.26149303325539364,-0.1063202186835626,0.036647910251519686,0.005808224220665073,0.19630225688669814,-0.014434445456845189,0.4300087837766198,0.20401433790520665,0.03835721171007724,0.0037977878257844004
2016-07-29,0.1602013049083296,-0.10225958673455,-0.045778217658084604,0.1253807501449128,-0.3576926327373669,-0.19099914631253012,0.03647865915901279,-0.08512102983409457,0.2537319440131767,-0.24433188983185794,0.4456222561498559,0.1694119949544683,,
2016-08-31,-0.09783649326425047,-0.06009162005467718,0.09182398526626213,-0.13129313808555934,-0.04946919808187117,-0.04345875684240494,-0.10780313847386952,0.02897609009731132,0.13634223926734307,0.07294251677934732,0.22825180037087245,0.19948632454039206,0.11527173860450507,-0.05317719176584927
2016-09-30,0.23733002670490091,-0.25484977552169424,-0.07424554084149,0.06434040189743677,-0.09511696181822488,0.07129852977741652,0.008195602485173323,-0.09634170551871775,0.12323921944918788,0.023039531913245162,0.030496867771290917,0.056059087472759006,-0.14623737255634975,0.07125273241877492
2016-10-31,0.23665244773385224,-0.1462639511841764,-0.1462571700125837,0.08901708532328481,-0.18496453796888532,-0.1128939134141268,-0.02595963326180974,-0.07520442678638803,0.199249010943225,-0.06709678120262051,0.40232251910420347,0.09696612535695391,0.02107405147016889,-0.01406047001857103
2016-11-30,0.16512088188468677,-0.22596885326743552,-0.10064182165319867,0.07102003960556853,-0.003545225034376545,0.1799983072718184,0.077704996742312,0.04136939920117021,-0.003662763467553389,0.017817257647718403,-0.14222582910458256,0.0292715971302437,-0.15730089046099952,-0.03525937839007917
2016-12-30,-0.10487038813058229,0.14935412031520695,0.19367112178876655,-0.07609906107682897,-0.08208771436579719,-0.04631863110749475,-0.009858169254832036,-0.0532874164039854,0.038059094261544864,0.020140306132934552,0.10531493726958494,0.15032329775496409,,
2017-01-31,0.09727860267386042,0.05621570025368653,-0.02442072242192925,0.1508070213546121,-0.08101909196320632,-0.06113538669014252,0.06054900680277254,0.09551501892176073,-0.120187787414237,0.03964198942778103,-0.0744763777862146,-0.026244427127938827,-0.141655560703627,
2017-02-28,-0.2379299471769353,0.20716096175617976,0.09260019776172129,-0.11266787546967742,0.022597066835805858,-0.07435608511641095,-0.1182461818308049,0.11714683885809452,0.028558764968474436,0.07267496990265157,-0.005724122114315839,0.09289474111023002,0.07415083093775057,
2017-03-31,-0.14448939801309724,0.15900306140637321,0.08175329549509311,0.011709263707846062,0.06341828514556393,-0.024619591590446264,0.09203426342857866,0.021573043443493162,-0.10660038079123964,-0.0029832057158537943,-0.05669552323426187,-0.023851392202727535,0.01131176643178961,-0.06331683870274157
2017-04-28,-0.19454256227096384,0.16999663363550432,0.19521399088423758,-0.04485488126649103,0.047327428217387835,-0.05422428840120934,-0.01430503277522676,-0.024160509174701573,-0.1327073310324901,0.1017309600738765,-0.15198197286317577,-0.07648460417118969,,
2017-05-31,0.15280833145569142,-0.16156951937638026,0.056113217493903966,0.1864538319374811,-0.06574022340789186,-0.1197022743782258,0.049358932861204435,-0.01659138742829057,0.1445735343983729,-0.01751760391122359,0.3310908513780689,0.12105133834484395,-0.0388439180432295,0.04078121843486699
2017-06-30,-0.11098009376262738,-0.10443306982549494,-0.001067916975211652,-0.08016673308877467,0.13233488630104234,-0.0633737281489439,-0.055366041615711,0.044061927636749,0.23581719486802155,0.00018736037663399783,0.1067196759470764,0.08717691095578566,0.03203446690408225,0.02851882918093626
2017-07-31,-0.11263260053042719,0.12657334948228996,0.26133255585076554,-0.10872524277405364,0.13149061093393993,0.043247538110586466,-0.040897436168376704,0.06603728106223182,-0.08936996801087964,0.15401227034198586,-0.1263467706497051,-0.12459754000575382,0.015908672854179056,0.05685460435345356
2017-08-31,0.13002256347931102,-0.028238550789722136,-0.014142770675647029,0.10148357511350926,0.08344338737034657,-0.09537652922906499,0.06728513230170984,0.0026766894823065986,0.15121473681284203,0.06084941203604771,0.35878329688450367,0.1899913841737415,0.047366068994654405,-0.010996974630003408
2017-09-29,-0.12000619848192795,0.0487603943917625,0.13550218970665476,0.01972158446917969,0.29627922859653383,-0.030416241304210327,0.004471543124860671,0.24901237513248015,-0.0836611152748073,0.11488122686491954,0.09634132575105117,-0.08886267147949718,,
2017-10-31,0.21176462859056996,0.09629771543624756,-0.07336995538574896,0.03375278459111238,-0.14834696902730674,-0.1015709349431755,0.055346954363662194,-1.3566505149553442e-05,-0.05651591774541572,-0.017902305342619544,-0.10713269590009468,-0.014003108363897999,0.05683312883942684,
