label,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months,hidden,seed,pred_std_mean
mlp_h64_s0,0.020978955787829864,0.11675120618973459,0.1796894136899671,0.6206896551724138,0.6482674564609514,58,64,0,0.009004572406411171
mlp_h64_s1,0.0019791333718216513,0.11998676046901112,0.01649459793801834,0.5172413793103449,0.09730567609191511,58,64,1,0.009308309856288392
mlp_h64_s2,0.012955584805424704,0.1244679144240216,0.10408774715457392,0.5689655172413793,0.414486632740883,58,64,2,0.00855802399395355
mlp_h64_s42,0.0006938024921293249,0.10882313455572064,0.006375505493035377,0.5172413793103449,0.3465960524791454,58,64,42,0.009372360040915424
mlp_h64_s123,0.017585226540120784,0.11204638085542518,0.15694595761027944,0.6551724137931034,0.5559782760623556,58,64,123,0.009261077406398695
