Rung,Model,IC_mean,IC_std,IC_IR_or_t,Hit_IC,LS_Sharpe,LS_Hit,n_months
1a,OLS,0.0104,0.1965,0.0527,0.569,0.669,0.586,58
1b,IC-Weighted Ensemble,0.0263,0.2249,0.1169,0.534,0.853,0.569,58
2a,LASSO,0.0172,0.2039,0.0842,0.569,0.789,0.569,58
2b,Ridge,0.0134,0.2008,0.0666,0.552,0.725,0.621,58
3,GAM (natural splines),-0.0007,0.1562,-0.0350,0.534,0.304,0.552,58
4,MLP single-task (pure nonlinearity),0.0048,0.1430,0.2540,0.534,0.288,0.466,58
5b,MTL (ret+ret3m),-0.0036,0.1306,-0.2110,0.500,0.229,0.517,58
5c,MTL (ret+vol),0.0061,0.1432,0.3240,0.483,0.391,0.552,58
5d,MTL (ret+ret3m+vol),0.0173,0.1480,0.8920,0.586,0.664,0.552,58
