n_splines,n_folds,train_ic_mean,test_ic_mean,test_ic_std,ic_ir,hit_rate,ls_sharpe,lambda_avg_mean,lambda_avg_median,total_edof_mean,total_edof_median,pred_std_test_mean
4,58,0.07276115586613538,0.014067093910424515,0.12628746466989746,0.11138947121311257,0.5172413793103449,0.8279701113490536,0.015439695365332644,0.015848931924611134,67.21744957216707,67.23061108522012,0.009516456262738945
5,58,0.07393622659027976,0.014590806773569543,0.11589431945100334,0.12589751458645132,0.5,0.791918171126038,0.10201150866242042,0.06309573444801932,84.84425545612609,86.32405164339575,0.011014042110130913
10,58,0.07474431418740721,0.006836174735410716,0.1032974290856119,0.06617952446565695,0.5344827586206896,0.5549292827284324,6.833052565273279,3.9810717055349696,157.2726986344109,137.48034767613362,0.013731283168590663
20,58,0.09033749306161022,0.007057712209615763,0.07904981785653079,0.08928182759921037,0.5517241379310345,0.4062532769340463,60.39620556016446,0.015848931924611134,378.6016933009625,399.9073967840234,0.024191659349475307
