label,IC_mean,IC_std,IC_t,IC_pos_frac,LS_Sharpe,ret3m_ic_mean,ret3m_ic_std,vol_corr,pred_std_ratio,n_months,uw_ret_mean,uw_ret_std,logvar_ret_mean,uw_ret3m_mean,uw_ret3m_std,logvar_ret3m_mean,uw_vol_mean,uw_vol_std,logvar_vol_mean
5a,0.0048,0.143,0.254,0.534,0.288,,,,0.084,58,0.989,0.0161,0.0112,,,,,,
5b,-0.0036,0.1306,-0.211,0.5,0.229,0.008,0.1561,,0.0919,58,0.9831,0.0138,0.0171,1.0008,0.0262,-0.0005,,,
5c,0.0061,0.1432,0.324,0.483,0.391,,,0.4962,0.1054,58,1.008,0.0176,-0.0078,,,,1.4303,0.2246,-0.3455
5d,0.0173,0.148,0.892,0.586,0.664,0.0141,0.1567,0.4927,0.1056,58,1.0037,0.0151,-0.0036,1.0361,0.0328,-0.0349,1.3713,0.1727,-0.3073
