date,alpha,EarningsYield_zscore,GrossProfitability_zscore,AssetGrowth_zscore,Accruals_zscore,Momentum12_1_zscore,NetDebtEBITDA_zscore,SUE_zscore,AnalystRevision_zscore,AnalystDispersion_zscore,RevisionBreadth_zscore,Beta_zscore,IVOL_zscore,ShortInterestRatio_zscore,InstOwnershipChg_zscore
2020-02-28,10000.0,0.00010430023125466772,0.0010135264836868157,1.7226053706668186e-05,0.0006868250927694313,0.00012895714860040812,-0.00048437720755669175,-0.00039235496154422817,0.0006330479110005619,-0.00031573458230389236,0.0004001718422507467,0.0005404865177916952,0.0016367671530756476,0.0010034291536057999,-0.00019609107142599114
2020-03-31,10000.0,-2.9960946927970238e-05,0.001228795314844626,9.574925519027555e-05,0.0007877402551148063,0.0001517437295705952,-0.0005658369371080263,-0.0003598060695700063,0.0006641799948345435,-0.00032828631253677566,0.00038855841597914317,0.00046909080895309746,0.0017565214187753146,0.0010305363290757457,-0.00023421068725283035
2020-04-30,10000.0,-0.00037132871579473385,0.001562889427002025,0.00017506870135800047,0.0008897674986350428,0.00033960767181317146,-0.0006291455095789193,-0.0002473567511179017,0.0005447443183640818,-0.0006321785273568551,0.0004677445469661931,-0.00019646108685574847,0.0016872406102308715,0.0010804553948240197,-0.00023624022068519663
2020-05-29,10000.0,1.8082698622449985e-05,0.0016024169987672644,0.00026008349835181276,0.0006946670471865242,0.00027323278738788584,-0.0006064417935332441,-0.0001922182542794198,0.0006651772280127291,-0.0004227276441415115,0.00029157459278725126,0.0002625178874126198,0.0021506781712876673,0.0012280555930034513,-0.00019700085091797827
2020-06-30,10000.0,-2.5432191888094627e-05,0.0018252840709882697,0.00035622661705342725,0.0006669102768447616,0.00038172952480058816,-0.0005910557174979831,-0.0002118432644750016,0.0007098237006792251,-0.00045700511985736743,0.0002401627011763388,0.0003073131219410047,0.002037768124312285,0.0013264810558359067,-0.00023826057578337013
2020-07-31,10000.0,-0.00011157899020146872,0.001858939879293058,0.0004004253539389084,0.00068877023903091,0.0003860613211594289,-0.0005693177995359519,-0.00027061223673893894,0.0006724290931254149,-0.0005014536185726967,0.0003456354211964681,0.0004772378108437597,0.0021786150539046486,0.0012699061222252606,-0.00023435605807763435
2020-08-31,10000.0,-0.0002813700139776684,0.0019283033716643672,0.0003873230018868059,0.0008072087808551645,0.000612092714911292,-0.0005460301790620066,-0.0002688184509716478,0.0006514829903858848,-0.0005312884082795469,0.0004306727136035082,0.00023578950436895234,0.002195307345693739,0.0013060464226394121,-0.00028028592249921863
2020-09-30,10000.0,-0.0002525159004870528,0.0020476712756315107,0.0003423990647912283,0.0008041816566384203,0.0006644148785055303,-0.0005308968108302041,-0.0003371612878145819,0.000546678646319576,-0.0004910441219977364,0.00038056486627244967,0.0004519600957016042,0.002132004508886253,0.0013916422123839904,-0.0004414645375609627
2020-10-30,10000.0,-0.00021800395217873,0.002077975084631326,0.00042691744652433554,0.0008432279107965614,0.0007139900441263205,-0.0006223234876317984,-0.00025375641555178406,0.0005369474303958424,-0.0004976782875870916,0.0004152903533151274,0.0003799462492380035,0.0020489439950155917,0.0013631509685533372,-0.0003396159352474624
2020-11-30,10000.0,-0.00019342290249938705,0.001963419817058951,0.0002755239968208382,0.0008646394510822574,0.0006054416382763355,-0.0006737417270781438,-0.0002490491149065405,0.0005627427779394885,-0.00044032793145760285,0.00042590124013278097,0.0005327227398018858,0.0019862174951590372,0.0013673434071182092,-0.0003910810871047832
2020-12-31,10000.0,-8.315396212292439e-05,0.0017035474795258634,0.00023936883756022384,0.0006741767187036171,0.0006096519402762125,-0.00047134635701529687,-0.00041554950159152204,0.00043873018481472507,-0.0003067458764747459,0.00036101024114983994,0.0011862590872130237,0.002333739122932287,0.001242501559542426,-0.00037141276306103504
2021-01-29,10000.0,-2.2365110613893587e-05,0.0016801171332968567,0.00020534406073512582,0.0006651310768482628,0.0005769264816917064,-0.0004926897449531969,-0.0004633331334889001,0.00037110682103696287,-0.00026999681531247654,0.0003438725006902438,0.0013599425118732882,0.0023993552089502054,0.0012027992917939365,-0.00036205546916677527
2021-02-26,10000.0,6.586736546969075e-05,0.0015305059881274641,0.00011945121927239436,0.0005469071786700528,0.0007361170886918941,-0.00037285626809509026,-0.00047208398432626447,0.0005019185938900472,-0.0002754498666910825,0.00033976852109402725,0.0012811829225977008,0.002658614982076899,0.001241531624228005,-0.00035493913795851996
2021-03-31,10000.0,3.545790215661348e-05,0.0013987940638971724,4.7435507473716636e-05,0.0005721393218616648,0.000477636435463236,-0.00028885975429397313,-0.0005064357940695721,0.00047833185468603703,-0.00012614872801092867,0.0004348078224839741,0.002049630176038271,0.002649943486290005,0.0011783089558432861,-0.0003398207251565538
2021-04-30,10000.0,0.00015360089853144694,0.0013663443440190936,-5.597842324665918e-05,0.0005656741218370341,0.0002265566620997808,-0.00032572858977052024,-0.000390609164234442,0.000442097737213348,-0.0001126351211108045,0.0004984941483957419,0.002070415104614309,0.002340225090945685,0.0012555021892186075,-0.0003395075183825615
2021-05-28,10000.0,0.0001270910803503482,0.0013559190447039828,-2.6526026230975406e-05,0.000578910521387065,0.00028125764732063176,-0.00034350171061661456,-0.00038623420814091374,0.00046778049644137547,-0.00018851405226880157,0.00047520254006279904,0.002077148133503274,0.0022629295531522826,0.00117801182904014,-0.0002572775348971745
2021-06-30,10000.0,6.172269312465643e-05,0.0012455723230218642,-5.8356387807481056e-05,0.0005887965977201996,0.0003055418749911532,-0.00037431997362166004,-0.0003952253186370494,0.00043805858991311506,-0.00016862785626371092,0.0005508847702053723,0.002223931338425342,0.002201113205337964,0.0011157002821641573,-0.00021105008755653402
2021-07-30,10000.0,6.978914933040295e-05,0.0014458063692008845,0.00010982605482289761,0.0004909155476520083,0.00028458912827250554,-0.00039096141763098876,-0.00036828202611704694,0.0005136380390980123,-0.00021538628114037018,0.00047133352232782205,0.002056137993762878,0.0024905316574811293,0.0010424666035116494,-0.0002088343106990563
2021-08-31,10000.0,0.00024936672858876,0.0016652415017696016,0.00022582592316580454,0.0005961049342119437,0.00018010996011446462,-0.00034058804411745146,-0.0004185970698179897,0.0005507077137461801,-0.00017025559140841932,0.00047999986721948665,0.0018157590956353676,0.00239389492401031,0.0010119980519751508,-0.00021984252964221413
2021-09-30,10000.0,0.00031199487586771896,0.0016358592125681642,0.0003160443697151727,0.0005230381439434541,0.00026337501536629606,-0.0002820570692473044,-0.0004258139979898684,0.0006020805129666515,-0.0002442643578799309,0.0004942470453454425,0.0018473249267624773,0.0024032259382200842,0.0010085808781231833,-0.00021795206491351655
2021-10-29,10000.0,0.00013871535520888016,0.0014190513575227976,0.0002602741415896721,0.0004341236672210952,0.0003193823152513877,-0.0003617875678326195,-0.00047180333083536314,0.0005950808034128036,-0.00015695088150967617,0.0004626148291612745,0.0020285820996969266,0.002391102709023472,0.0009652464822248117,-0.0001936167378681333
2021-11-30,10000.0,0.00015500701682987414,0.001480908626666238,0.0002807021594943637,0.00040600877341226307,0.0003617010757710655,-0.0004075315218918321,-0.00046563496373868974,0.0005341260274461472,-0.00019470797448904113,0.0005303477144360252,0.002099045230873392,0.002417557726411681,0.0009046241720698573,-5.100747543555524e-05
2021-12-31,10000.0,0.00021997009123339274,0.0016528324674412614,0.0002833296652972854,0.00043511712192585505,0.00030320839021350004,-0.0003889692409943603,-0.00042790670312500194,0.0005272468160368503,-0.00027978756556747614,0.0005381678501924229,0.002061825787393707,0.0024148173576781515,0.0009024817228392841,-4.999476155670385e-05
2022-01-31,10000.0,0.00020762064058651268,0.0016715335586568022,8.661268649355972e-05,0.0005038272467473668,8.857656937520219e-05,-0.000347219811267344,-0.00039625546100922573,0.0005586258215926232,-0.00024429921075815015,0.0005633471925893882,0.001883143216017175,0.0022494699326392354,0.0008707220351754873,-0.000163958020978966
2022-02-28,10000.0,-7.3987734534340785e-06,0.0012261944272830055,-0.00019455333039224666,0.0004211758231037223,-2.5834866837691847e-05,-0.00040795616194573884,-0.0003795028886861558,0.0006151896646631584,-0.0002378322427678941,0.0005421218546368742,0.0018378405271335793,0.002041304667199372,0.000854259287520533,-0.00037741094686289767
2022-03-31,10000.0,-8.376297025826161e-05,0.0010549040428291508,-0.0003042669610945402,0.00034168853794800286,9.284527922825164e-05,-0.00035671391973053667,-0.0002721608148074191,0.0006076955105079777,-0.0002097116807246642,0.00055356762384285,0.0018739093467238194,0.002078683640929609,0.0009066945600502488,-0.00043138923558414953
2022-04-29,10000.0,-0.00016351087600164965,0.0009532966359469458,-0.00032819439607357966,0.00017300121972603822,0.00018205586820362748,-0.0003195071980419927,-0.0003329862407213453,0.000553912394007128,-0.00024285446746575475,0.0005599741835129823,0.001719851327848934,0.0020960698232058788,0.0008758524516149905,-0.0004724890801588335
