Model,n_months,IC_nomiss,IC_withmiss,delta_mean,delta_std,t_stat,p_value,sig_at_0.05
1a_OLS,58,0.009322657689166201,0.011796601569875059,0.002473943880708863,0.05846726239120157,0.3222486311408764,0.7484433115647006,False
1b_IC_Ensemble,58,0.025760260249179424,0.017884713005613603,-0.007875547243565819,0.03792975268891571,-1.5813016600299847,0.11934271915985799,False
2a_LASSO,58,0.017513672545773094,0.015717307408536472,-0.0017963651372366173,0.06617917416999286,-0.20672227286089806,0.836963448846771,False
2b_Ridge,58,0.011265218226952076,0.012902295126283768,0.001637076899331689,0.04845287686492259,0.25731405499241394,0.7978629867580744,False
