n_monthly_regressions,beta_mean_L2,beta_max_abs
60,0.008437224997458964,0.007350737507480492
61,0.008916393209745408,0.0077708179914647065
62,0.008620578022164664,0.007056906762586997
63,0.007882136920716714,0.005963130537408161
64,0.008030612400472044,0.005947723075345414
65,0.008300273113070161,0.006010963416137534
66,0.007976220062359426,0.005480576346665367
67,0.007873936509562541,0.005156029296227935
68,0.00784795104378867,0.00514753013318201
69,0.008395679081688756,0.0060705757840504035
70,0.009039643106655278,0.006662738095262649
71,0.008696521867087258,0.006087571248787503
72,0.009125847353485496,0.00669320795241323
73,0.009449936281656104,0.006901104551139497
74,0.00953317197039652,0.007118738187799419
75,0.009227114742579515,0.006724056380461311
76,0.00917799796016407,0.006689436124963401
77,0.009196671630389544,0.006722157720074338
78,0.008446426173898862,0.00576008176790259
79,0.00847323551709859,0.005857292223113439
80,0.008306300590937211,0.005731328005185077
81,0.007258995690995108,0.003984055206333791
82,0.007308065046945991,0.003923563348352877
83,0.006918604512579008,0.003500047395863428
84,0.006842582015295207,0.003811762548611299
85,0.006749008095792769,0.0038433981707104
86,0.006450938692980026,0.003594027448839992
87,0.006382307994827509,0.003874556985732808
88,0.006353825802841249,0.003927503934019893
89,0.005565819053416654,0.002650211927253333
90,0.005701950383113852,0.002734146671186902
91,0.005688045086804645,0.002669437033749337
92,0.005830820663497062,0.0031074805972368903
93,0.005518904684899981,0.0025424495423597778
94,0.005380510352806108,0.002524622279161004
95,0.0053917904003715055,0.002547967493687025
96,0.005591172949554838,0.002571106683900722
97,0.00593986252213932,0.0030316630144315852
98,0.006066279930456804,0.003124343757400549
99,0.006055029071333853,0.003260059629978213
100,0.006327422199155936,0.0032158339866994027
101,0.006488542936195234,0.003465073993764289
102,0.006118478034765405,0.0028228974749075486
103,0.005688362921211688,0.0027457257669601587
104,0.005615297423570054,0.002764749898694359
105,0.005370682107805421,0.002754625134335652
106,0.0055390297235119994,0.002705074862921277
107,0.005673018146377087,0.0026857922883497527
108,0.005542746738381226,0.002645272033512931
109,0.005635973735700058,0.0026577392928593046
110,0.005572854514587022,0.0027692459227375726
111,0.0053905240835719626,0.0027174703257970938
112,0.00542140690541593,0.0027033621292330856
113,0.005294129782567661,0.0026100415733145456
114,0.005344530881712328,0.002651742891931654
115,0.005151251714223197,0.002546680923609252
116,0.005184192840615208,0.0024582697761141017
117,0.005081827736309636,0.0023757086581721945
