================================================================================
RUNG 3A GAM FINE-TUNE — n_splines fine-grained sweep [4, 6, 7, 8, 9]
Coarse sweep: n=5 Sharpe=0.79 >> n=10 Sharpe=0.55
Goal: find true peak between n=3 and n=10
================================================================================
Loading panel: data/master_panel_v2.parquet
  46,811 rows, 119 months, 442 tickers, 27 features

================================================================================
n_splines = 4
================================================================================
  [gam_ns4] fold  50/58 | 2024-03 | n_train=42,496 | n_test= 429 | IC=-0.1252 | elapsed=487.0s
  [gam_ns4] fold  51/58 | 2024-04 | n_train=42,924 | n_test= 432 | IC=+0.0249 | elapsed=500.5s
  [gam_ns4] fold  52/58 | 2024-05 | n_train=43,353 | n_test= 432 | IC=-0.0783 | elapsed=513.9s
  [gam_ns4] fold  53/58 | 2024-06 | n_train=43,785 | n_test= 432 | IC=+0.0388 | elapsed=527.3s
  [gam_ns4] fold  54/58 | 2024-07 | n_train=44,217 | n_test= 432 | IC=-0.1075 | elapsed=541.0s
  [gam_ns4] fold  55/58 | 2024-08 | n_train=44,649 | n_test= 432 | IC=+0.0858 | elapsed=554.8s
  [gam_ns4] fold  56/58 | 2024-09 | n_train=45,081 | n_test= 432 | IC=-0.1279 | elapsed=569.1s
  [gam_ns4] fold  57/58 | 2024-10 | n_train=45,513 | n_test= 433 | IC=+0.0663 | elapsed=583.2s
  [gam_ns4] fold  58/58 | 2024-11 | n_train=45,945 | n_test= 433 | IC=-0.0287 | elapsed=597.8s

  DONE n_splines=4: IC=+0.0141, IC_IR=0.1114, Sharpe=0.828, Hit=51.7%, elapsed=597.9s

================================================================================
n_splines = 6
================================================================================
  [gam_ns6] fold   1/58 | 2020-02 | n_train=22,025 | n_test= 401 | IC=+0.0197 | elapsed=8.7s
  [gam_ns6] fold   2/58 | 2020-03 | n_train=22,426 | n_test= 401 | IC=+0.1271 | elapsed=17.4s
  [gam_ns6] fold   3/58 | 2020-04 | n_train=22,827 | n_test= 408 | IC=+0.1128 | elapsed=26.4s
  [gam_ns6] fold   4/58 | 2020-05 | n_train=23,228 | n_test= 408 | IC=+0.2369 | elapsed=35.4s
  [gam_ns6] fold   5/58 | 2020-06 | n_train=23,636 | n_test= 408 | IC=+0.0439 | elapsed=44.7s
  [gam_ns6] fold   6/58 | 2020-07 | n_train=24,044 | n_test= 409 | IC=+0.1041 | elapsed=54.0s
  [gam_ns6] fold   7/58 | 2020-08 | n_train=24,452 | n_test= 409 | IC=-0.0110 | elapsed=63.7s
  [gam_ns6] fold   8/58 | 2020-09 | n_train=24,861 | n_test= 410 | IC=-0.0364 | elapsed=73.6s
  [gam_ns6] fold   9/58 | 2020-10 | n_train=25,270 | n_test= 409 | IC=-0.0098 | elapsed=83.6s
  [gam_ns6] fold  10/58 | 2020-11 | n_train=25,680 | n_test= 411 | IC=+0.1067 | elapsed=93.7s
  [gam_ns6] fold  11/58 | 2020-12 | n_train=26,089 | n_test= 414 | IC=+0.0366 | elapsed=103.8s
  [gam_ns6] fold  12/58 | 2021-01 | n_train=26,500 | n_test= 416 | IC=+0.0520 | elapsed=113.9s
  [gam_ns6] fold  13/58 | 2021-02 | n_train=26,914 | n_test= 414 | IC=-0.1505 | elapsed=204.5s
  [gam_ns6] fold  14/58 | 2021-03 | n_train=27,330 | n_test= 414 | IC=+0.0164 | elapsed=215.2s
  [gam_ns6] fold  15/58 | 2021-04 | n_train=27,744 | n_test= 416 | IC=+0.0108 | elapsed=226.4s
  [gam_ns6] fold  16/58 | 2021-05 | n_train=28,158 | n_test= 416 | IC=+0.2274 | elapsed=237.5s
  [gam_ns6] fold  17/58 | 2021-06 | n_train=28,574 | n_test= 416 | IC=-0.0468 | elapsed=248.7s
  [gam_ns6] fold  18/58 | 2021-07 | n_train=28,990 | n_test= 417 | IC=-0.0536 | elapsed=260.1s
  [gam_ns6] fold  19/58 | 2021-08 | n_train=29,406 | n_test= 417 | IC=-0.0636 | elapsed=271.6s
  [gam_ns6] fold  20/58 | 2021-09 | n_train=29,823 | n_test= 417 | IC=+0.1163 | elapsed=283.2s
  [gam_ns6] fold  21/58 | 2021-10 | n_train=30,240 | n_test= 418 | IC=+0.1030 | elapsed=294.7s
  [gam_ns6] fold  22/58 | 2021-11 | n_train=30,657 | n_test= 418 | IC=+0.0177 | elapsed=306.7s
  [gam_ns6] fold  23/58 | 2021-12 | n_train=31,075 | n_test= 418 | IC=-0.2787 | elapsed=318.6s
  [gam_ns6] fold  24/58 | 2022-01 | n_train=31,493 | n_test= 418 | IC=-0.0458 | elapsed=330.7s
  [gam_ns6] fold  25/58 | 2022-02 | n_train=31,911 | n_test= 418 | IC=-0.1241 | elapsed=343.3s
  [gam_ns6] fold  26/58 | 2022-03 | n_train=32,329 | n_test= 418 | IC=-0.0860 | elapsed=355.9s
  [gam_ns6] fold  27/58 | 2022-04 | n_train=32,747 | n_test= 419 | IC=-0.1252 | elapsed=368.7s
  [gam_ns6] fold  28/58 | 2022-05 | n_train=33,165 | n_test= 420 | IC=-0.0565 | elapsed=382.0s
  [gam_ns6] fold  29/58 | 2022-06 | n_train=33,584 | n_test= 422 | IC=+0.0355 | elapsed=395.5s
  [gam_ns6] fold  30/58 | 2022-07 | n_train=34,004 | n_test= 422 | IC=-0.0113 | elapsed=409.0s
  [gam_ns6] fold  31/58 | 2022-08 | n_train=34,426 | n_test= 422 | IC=+0.0204 | elapsed=422.7s
  [gam_ns6] fold  32/58 | 2022-09 | n_train=34,848 | n_test= 422 | IC=+0.0685 | elapsed=437.3s
  [gam_ns6] fold  33/58 | 2022-10 | n_train=35,270 | n_test= 422 | IC=-0.0925 | elapsed=451.2s
  [gam_ns6] fold  34/58 | 2022-11 | n_train=35,692 | n_test= 423 | IC=-0.1356 | elapsed=465.7s
  [gam_ns6] fold  35/58 | 2022-12 | n_train=36,114 | n_test= 423 | IC=+0.1999 | elapsed=480.5s
  [gam_ns6] fold  36/58 | 2023-01 | n_train=36,537 | n_test= 424 | IC=+0.1126 | elapsed=495.5s
  [gam_ns6] fold  37/58 | 2023-02 | n_train=36,960 | n_test= 424 | IC=-0.0732 | elapsed=510.2s
  [gam_ns6] fold  38/58 | 2023-03 | n_train=37,384 | n_test= 424 | IC=-0.0809 | elapsed=525.5s
  [gam_ns6] fold  39/58 | 2023-04 | n_train=37,808 | n_test= 424 | IC=+0.1930 | elapsed=540.6s
  [gam_ns6] fold  40/58 | 2023-05 | n_train=38,232 | n_test= 425 | IC=+0.1436 | elapsed=556.2s
  [gam_ns6] fold  41/58 | 2023-06 | n_train=38,656 | n_test= 425 | IC=+0.0766 | elapsed=572.1s
  [gam_ns6] fold  42/58 | 2023-07 | n_train=39,081 | n_test= 425 | IC=+0.0346 | elapsed=588.1s
  [gam_ns6] fold  43/58 | 2023-08 | n_train=39,506 | n_test= 426 | IC=-0.0089 | elapsed=603.8s
  [gam_ns6] fold  44/58 | 2023-09 | n_train=39,931 | n_test= 427 | IC=-0.2687 | elapsed=620.6s
